date,nwvf_time_integral,EC,days_diff
2008-08-31,4799081.899801038,50.7,14.0
2008-09-30,12860377.18308382,44.6,28.0
2008-10-31,4399617.771125889,24.700000000000003,28.0
2008-11-30,2224428.2478883322,75.6,42.0
2008-12-31,10850849.608493987,59.599999999999994,28.0
2009-01-31,2191505.181846261,109.0,28.0
2009-02-28,5726094.9370056465,75.2,28.0
2009-03-31,1776771.0265375308,194.10000000000002,14.0
2009-05-31,2325362.5552042252,46.8,84.0
2009-06-30,176119.1790465084,101.7,28.0
2009-07-31,-4982159.072026083,101.3,28.0
2009-08-31,10382978.588753888,52.300000000000004,35.0
2009-09-30,9860152.742961347,40.699999999999996,28.0
2009-10-31,-1220622.3029473852,114.0,28.0
2009-11-30,5249373.550504515,36.7,35.0
2009-12-31,1161835.837334809,54.3,28.0
2010-01-31,5901499.501709754,139.2,28.0
2010-02-28,817302.2266672149,77.6,35.0
2010-03-31,-2264569.0932205156,183.4,28.0
2010-04-30,3561767.957279455,203.5,28.0
2010-05-31,3770662.968229615,139.2,35.0
2010-06-30,-2690143.937660806,25.3,28.0
2010-07-31,6167474.502571433,116.9,28.0
2010-08-31,3902372.747040954,42.4,35.0
2010-09-30,1768906.2232882641,34.4,28.0
2010-10-31,4135542.4136319617,79.6,35.0
2010-11-30,-3493011.081259782,80.6,28.0
2010-12-31,-1306944.0133712925,102.69999999999999,14.0
2011-01-31,1610847.482392673,357.2,49.0
2011-02-28,8069602.712956849,88.60000000000001,28.0
2011-03-31,7243767.617167518,172.6,28.0
2011-04-30,8535780.066481253,178.2,28.0
2011-05-31,1928246.803905629,27.5,7.0
2011-08-31,-263305.057415626,116.30000000000001,112.0
2011-09-30,10365352.333712634,61.5,35.0
2011-10-31,9110578.868603442,72.2,35.0
2011-11-30,9266626.79741291,145.39999999999998,28.0
2011-12-31,4851335.616184176,128.6,28.0
2012-01-31,6181790.1534118485,76.7,28.0
2012-02-29,13333230.045748156,114.1,28.0
2012-03-31,7784374.8528425405,156.3,28.0
2012-04-30,-2992689.1791697172,176.5,42.0
2012-05-31,-246073.00820087967,51.4,21.0
2012-06-30,-5359680.341970148,32.8,35.0
2012-07-31,-2458057.6384212268,99.0,35.0
2012-08-31,-1434684.7831065757,70.19999999999999,28.0
2012-09-30,10263535.270783875,68.3,35.0
2012-10-31,-570229.6960489703,33.2,28.0
2012-11-30,1731002.6766623429,79.9,28.0
2012-12-31,4083113.882543811,166.6,35.0
2013-01-31,2570886.0696556247,191.9,28.0
2013-02-28,2687070.171252739,122.8,28.0
2013-03-31,-4867771.640035056,161.60000000000002,35.0
2013-04-30,1456127.018345943,200.3,28.0
2013-05-31,4012375.5582471713,81.3,28.0
2013-06-30,16016044.125333855,97.2,35.0
2013-07-31,9228272.115689564,21.8,14.0
2013-08-31,3120492.424557008,0.1,28.0
2013-09-30,4247607.917402413,22.7,28.0
2013-10-31,4071943.7533638887,5.5,28.0
2013-11-30,-457930.1178000526,28.6,28.0
2013-12-31,-636085.3023535883,67.30000000000001,56.0
2014-01-31,2835057.360312865,12.3,28.0
2014-02-28,36350.73246322364,49.1,28.0
2014-03-31,-695375.4591928122,57.5,28.0
2014-04-30,2395389.652128379,46.0,28.0
2014-05-31,799406.1256908777,23.0,28.0
2014-06-30,-418395.70391211525,13.5,28.0
2014-07-31,11116969.819155034,61.599999999999994,42.0
2014-08-31,2456592.8930287445,80.5,14.0
2014-09-30,2109545.565952452,10.2,28.0
2014-10-31,5546721.25545826,16.7,28.0
2014-11-30,2921006.4462410347,82.4,56.0
2014-12-31,-1216358.6887794998,28.2,28.0
2015-01-31,5809171.56279648,116.8,28.0
2015-02-28,4131451.074813084,113.7,28.0
2015-03-31,10236002.377679957,55.0,28.0
2015-04-30,7848373.850630771,70.6,28.0
2015-05-31,2497942.3137986516,63.1,42.0
2015-06-30,-2999892.6640524943,33.5,21.0
2015-07-31,-12616834.721278764,54.699999999999996,28.0
2015-08-31,9578633.718314273,146.60000000000002,42.0
2015-09-30,10309542.024126606,30.099999999999998,28.0
2015-10-31,11208976.408404686,34.8,28.0
2015-11-30,6803228.396599803,71.9,35.0
2015-12-31,219799.41113536106,110.2,28.0
2016-01-31,8343159.425640332,89.30000000000001,28.0
2016-02-29,4207286.382744328,105.39999999999999,28.0
2016-03-31,3465748.9868577844,180.2,28.0
2016-04-30,-1410415.9836412838,153.3,28.0
2016-05-31,7387531.464468248,71.0,42.0
2016-06-30,1694712.2711876216,35.3,28.0
2016-07-31,5783543.698226287,81.6,35.0
2016-08-31,6771457.33488354,33.5,28.0
2016-09-30,14554873.538715553,0.7,28.0
2016-10-31,20272744.94878626,19.6,35.0
2016-11-30,10574181.05416723,22.7,28.0
2016-12-31,3879995.0577254253,93.69999999999999,28.0
2017-01-31,4864777.2222568225,125.9,35.0
2017-02-28,6371042.911336354,151.8,28.0
2017-03-31,1929381.9872491178,145.1,28.0
2017-04-30,-2447155.0055023185,102.3,35.0
2017-05-31,-4790388.989959918,53.900000000000006,28.0
2017-06-30,-3963613.680617406,32.099999999999994,28.0
2017-07-31,13380502.083617432,31.6,35.0
2017-08-31,2292031.2163723437,28.6,28.0
2017-09-30,15391207.45114277,16.5,28.0
2017-10-31,16355578.609654404,35.5,35.0
2017-11-30,-983140.1202686608,55.3,28.0
2017-12-31,-1210031.8237129427,138.48000000000002,35.0
2018-01-31,6633866.857808894,88.03999999999999,28.0
2018-02-28,12279053.384000894,48.61,28.0
2018-03-31,-1208617.266511832,60.47,28.0
2018-04-30,-1032148.0435436285,137.22,35.0
2018-05-31,15660509.384246958,29.970000000000002,28.0
2018-06-30,1276628.9063210508,17.48,28.0
2018-07-31,31017873.304791953,19.65,35.0
2018-08-31,5055141.502664229,33.76,28.0
2018-09-30,11312452.641870556,16.04,35.0
2018-10-31,4720376.508420953,17.2,28.0
2018-11-30,8912999.573091663,50.81,28.0
2018-12-31,6200808.946609864,117.85,35.0
2019-01-31,183992.78464134427,127.44,28.0
2019-02-28,1395510.4500161032,98.09,28.0
2019-03-31,221892.5672573041,62.8,35.0
2019-04-30,4633538.56132926,32.09,28.0
2019-05-31,-5288392.444914094,28.22,28.0
2019-06-30,-7420806.565656608,13.32,35.0
2019-07-31,297155.0049561425,44.53,28.0
2019-08-31,-5517627.939128445,27.770000000000003,28.0
2019-09-30,13372326.19095766,12.95,35.0
2019-10-31,-4963589.578977895,13.25,28.0
2019-11-30,1411567.34964236,14.98,28.0
2019-12-31,21122.550012934254,104.37,35.0
2020-01-31,2657165.6820187336,165.5,28.0
2020-02-29,2594404.7434446737,173.5,28.0
2020-03-31,72104.55359815375,6.2,28.0
2020-04-30,12854.838225437328,53.5,35.0
2020-05-31,3635291.0738024344,32.8,35.0
2020-06-30,6910251.2383883,10.5,28.0
2020-07-31,4667984.68848476,25.9,28.0
2020-08-31,10539082.115574993,16.4,35.0
2020-09-30,9918332.867758717,11.6,28.0
2020-10-31,7557457.291037606,24.5,28.0
2020-11-30,12731780.852838363,38.0,35.0
2020-12-31,5533140.070786828,21.2,28.0
2021-01-31,3840306.1747711375,83.3,35.0
2021-02-28,3011623.4053061227,38.599999999999994,28.0
2021-03-31,1374824.7582671568,125.60000000000001,28.0
2021-04-30,2366180.0752966832,86.5,28.0
2021-05-31,-4514754.941731635,58.8,35.0
2021-06-30,12092914.304991081,3.4,28.0
2021-07-31,10525063.34717153,23.199999999999996,29.0
2021-08-31,3659631.745727904,36.5,35.0
2021-09-30,11368210.929806316,13.8,28.0
2021-10-31,3933335.645201939,15.6,28.0
2021-11-30,1617609.4620945489,76.6,35.0
2021-12-31,3659032.788855687,62.7,21.0
2022-01-31,-445383.70530466276,136.9,41.0
2022-02-28,-127464.64527007844,118.7,28.0
2022-03-31,10445117.800199755,72.2,28.0
2022-04-30,-882538.5441134052,103.0,28.0
2022-05-31,354701.36610110314,63.199999999999996,35.0
2022-06-30,7516715.86317479,17.8,28.0
2022-07-31,122151290.15160921,35.2,35.0
2022-08-31,123590326.01868889,32.6,28.0
2022-09-30,123609093.2759228,10.8,28.0
2022-10-31,154737059.11873788,19.6,35.0
2022-11-30,123789647.2949903,38.5,28.0
2022-12-31,30947411.823747575,12.6,7.0
